"item","factor1","factor2","R0","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","CompQuestion","CorrectAns"
"6b","mismatch","cc","______ ___ __ ___ ________ __ _____ ____ _______ ___ ___ ____ __ _____ ___ ____ ______ ___ ______ ___  ______ __ ____ ________","Leslie was __ ___ ________ __ _____ ____ _______ ___ ___ ____ __ _____ ___ ____ ______ ___ ______ ___  ______ __ ____ ________","______ ___ at the station. __ _____ ____ _______ ___ ___ ____ __ _____ ___ ____ ______ ___ ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ It seems ____ _______ ___ ___ ____ __ _____ ___ ____ ______ ___ ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ __ _____ each fireman ___ ___ ____ __ _____ ___ ____ ______ ___ ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ __ _____ ____ _______ was too weak __ _____ ___ ____ ______ ___ ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ __ _____ ____ _______ ___ ___ ____ to carry the hose ______ ___ ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ __ _____ ____ _______ ___ ___ ____ __ _____ ___ ____ before she ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ __ _____ ____ _______ ___ ___ ____ __ _____ ___ ____ ______ ___ called for  ______ __ ____ ________","______ ___ __ ___ ________ __ _____ ____ _______ ___ ___ ____ __ _____ ___ ____ ______ ___ ______ ___  backup to help ________","______ ___ __ ___ ________ __ _____ ____ _______ ___ ___ ____ __ _____ ___ ____ ______ ___ ______ ___  ______ __ ____ quickly.","Did Mary wash the dishes?","y"
"6c","match","nocc","______ ___ __ ___ ________ ______ ____ _______ ___ ___ ____ __ _____ ___ ____ __ _____ __ ______ ___  ______ __ ____ ________","Leslie was __ ___ ________ ______ ____ _______ ___ ___ ____ __ _____ ___ ____ __ _____ __ ______ ___  ______ __ ____ ________","______ ___ at the station. ______ ____ _______ ___ ___ ____ __ _____ ___ ____ __ _____ __ ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ Before ____ _______ ___ ___ ____ __ _____ ___ ____ __ _____ __ ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ ______ each fireman ___ ___ ____ __ _____ ___ ____ __ _____ __ ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ ______ ____ _______ was too weak __ _____ ___ ____ __ _____ __ ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ ______ ____ _______ ___ ___ ____ to carry the hose __ _____ __ ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ ______ ____ _______ ___ ___ ____ __ _____ ___ ____ it seems he ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ ______ ____ _______ ___ ___ ____ __ _____ ___ ____ __ _____ __ called for  ______ __ ____ ________","______ ___ __ ___ ________ ______ ____ _______ ___ ___ ____ __ _____ ___ ____ __ _____ __ ______ ___  backup to help ________","______ ___ __ ___ ________ ______ ____ _______ ___ ___ ____ __ _____ ___ ____ __ _____ __ ______ ___  ______ __ ____ quickly.","Did Mary wash the dishes?","n"
"6d","match","cc","______ ___ __ ___ ________ __ _____ ____ _______ ___ ___ ____ __ _____ ___ ____ ______ __ ______ ___  ______ __ ____ ________","Leslie was __ ___ ________ __ _____ ____ _______ ___ ___ ____ __ _____ ___ ____ ______ __ ______ ___  ______ __ ____ ________","______ ___ at the station. __ _____ ____ _______ ___ ___ ____ __ _____ ___ ____ ______ __ ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ It seems ____ _______ ___ ___ ____ __ _____ ___ ____ ______ __ ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ __ _____ each fireman ___ ___ ____ __ _____ ___ ____ ______ __ ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ __ _____ ____ _______ was too weak __ _____ ___ ____ ______ __ ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ __ _____ ____ _______ ___ ___ ____ to carry the hose ______ __ ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ __ _____ ____ _______ ___ ___ ____ __ _____ ___ ____ before he ______ ___  ______ __ ____ ________","______ ___ __ ___ ________ __ _____ ____ _______ ___ ___ ____ __ _____ ___ ____ ______ __ called for  ______ __ ____ ________","______ ___ __ ___ ________ __ _____ ____ _______ ___ ___ ____ __ _____ ___ ____ ______ __ ______ ___  backup to help ________","______ ___ __ ___ ________ __ _____ ____ _______ ___ ___ ____ __ _____ ___ ____ ______ __ ______ ___  ______ __ ____ quickly.","Did Mary wash the dishes?","y"
"7a","mismatch","nocc","_____ ___ _______ __ ___ ______ ____ ____ ________ _______ ___ ______ ___ ____ ___ _____ _ ___ __ ____ _______ ____ __ ___ ________","Peter was _______ __ ___ ______ ____ ____ ________ _______ ___ ______ ___ ____ ___ _____ _ ___ __ ____ _______ ____ __ ___ ________","_____ ___ working at the diner. ____ ____ ________ _______ ___ ______ ___ ____ ___ _____ _ ___ __ ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ When ____ ________ _______ ___ ______ ___ ____ ___ _____ _ ___ __ ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ ____ each waitress _______ ___ ______ ___ ____ ___ _____ _ ___ __ ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ ____ ____ ________ spilled the drinks ___ ____ ___ _____ _ ___ __ ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ ____ ____ ________ _______ ___ ______ all over the floor _ ___ __ ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ ____ ____ ________ _______ ___ ______ ___ ____ ___ _____ I saw he ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ ____ ____ ________ _______ ___ ______ ___ ____ ___ _____ _ ___ __ went quickly ____ __ ___ ________","_____ ___ _______ __ ___ ______ ____ ____ ________ _______ ___ ______ ___ ____ ___ _____ _ ___ __ ____ _______ back to ___ ________","_____ ___ _______ __ ___ ______ ____ ____ ________ _______ ___ ______ ___ ____ ___ _____ _ ___ __ ____ _______ ____ __ the kitchen.","Did Mary wash the dishes?","y"
"7b","mismatch","cc","_____ ___ _______ __ ___ ______ _ ___ ____ ________ _______ ___ ______ ___ ____ ___ _____ ____ __ ____ _______ ____ __ ___ ________","Peter was _______ __ ___ ______ _ ___ ____ ________ _______ ___ ______ ___ ____ ___ _____ ____ __ ____ _______ ____ __ ___ ________","_____ ___ working at the diner. _ ___ ____ ________ _______ ___ ______ ___ ____ ___ _____ ____ __ ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ I saw ____ ________ _______ ___ ______ ___ ____ ___ _____ ____ __ ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ _ ___ each waitress _______ ___ ______ ___ ____ ___ _____ ____ __ ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ _ ___ ____ ________ spilled the drinks ___ ____ ___ _____ ____ __ ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ _ ___ ____ ________ _______ ___ ______ all over the floor ____ __ ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ _ ___ ____ ________ _______ ___ ______ ___ ____ ___ _____ when he ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ _ ___ ____ ________ _______ ___ ______ ___ ____ ___ _____ ____ __ went quickly ____ __ ___ ________","_____ ___ _______ __ ___ ______ _ ___ ____ ________ _______ ___ ______ ___ ____ ___ _____ ____ __ ____ _______ back to ___ ________","_____ ___ _______ __ ___ ______ _ ___ ____ ________ _______ ___ ______ ___ ____ ___ _____ ____ __ ____ _______ ____ __ the kitchen.","Did Mary wash the dishes?","n"
"7c","match","nocc","_____ ___ _______ __ ___ ______ ____ ____ ________ _______ ___ ______ ___ ____ ___ _____ _ ___ ___ ____ _______ ____ __ ___ ________","Peter was _______ __ ___ ______ ____ ____ ________ _______ ___ ______ ___ ____ ___ _____ _ ___ ___ ____ _______ ____ __ ___ ________","_____ ___ working at the diner. ____ ____ ________ _______ ___ ______ ___ ____ ___ _____ _ ___ ___ ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ When ____ ________ _______ ___ ______ ___ ____ ___ _____ _ ___ ___ ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ ____ each waitress _______ ___ ______ ___ ____ ___ _____ _ ___ ___ ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ ____ ____ ________ spilled the drinks ___ ____ ___ _____ _ ___ ___ ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ ____ ____ ________ _______ ___ ______ all over the floor _ ___ ___ ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ ____ ____ ________ _______ ___ ______ ___ ____ ___ _____ I saw she ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ ____ ____ ________ _______ ___ ______ ___ ____ ___ _____ _ ___ ___ went quickly ____ __ ___ ________","_____ ___ _______ __ ___ ______ ____ ____ ________ _______ ___ ______ ___ ____ ___ _____ _ ___ ___ ____ _______ back to ___ ________","_____ ___ _______ __ ___ ______ ____ ____ ________ _______ ___ ______ ___ ____ ___ _____ _ ___ ___ ____ _______ ____ __ the kitchen.","Did Mary wash the dishes?","y"
"7d","match","cc","_____ ___ _______ __ ___ ______ _ ___ ____ ________ _______ ___ ______ ___ ____ ___ _____ ____ ___ ____ _______ ____ __ ___ ________","Peter was _______ __ ___ ______ _ ___ ____ ________ _______ ___ ______ ___ ____ ___ _____ ____ ___ ____ _______ ____ __ ___ ________","_____ ___ working at the diner. _ ___ ____ ________ _______ ___ ______ ___ ____ ___ _____ ____ ___ ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ I saw ____ ________ _______ ___ ______ ___ ____ ___ _____ ____ ___ ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ _ ___ each waitress _______ ___ ______ ___ ____ ___ _____ ____ ___ ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ _ ___ ____ ________ spilled the drinks ___ ____ ___ _____ ____ ___ ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ _ ___ ____ ________ _______ ___ ______ all over the floor ____ ___ ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ _ ___ ____ ________ _______ ___ ______ ___ ____ ___ _____ when she ____ _______ ____ __ ___ ________","_____ ___ _______ __ ___ ______ _ ___ ____ ________ _______ ___ ______ ___ ____ ___ _____ ____ ___ went quickly ____ __ ___ ________","_____ ___ _______ __ ___ ______ _ ___ ____ ________ _______ ___ ______ ___ ____ ___ _____ ____ ___ ____ _______ back to ___ ________","_____ ___ _______ __ ___ ______ _ ___ ____ ________ _______ ___ ______ ___ ____ ___ _____ ____ ___ ____ _______ ____ __ the kitchen.","Did Mary wash the dishes?","n"
"8a","mismatch","nocc","_____ ______ ___ ____ _________ ____ ____ _________ ___ __ ___ _____ _____ ______ ___ __ _____ ___ _____ ___ __  ___ ______ ______ _____ __ ______","Laura helped out ____ _________ ____ ____ _________ ___ __ ___ _____ _____ ______ ___ __ _____ ___ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ with catering. ____ ____ _________ ___ __ ___ _____ _____ ______ ___ __ _____ ___ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ When ____ _________ ___ __ ___ _____ _____ ______ ___ __ _____ ___ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ ____ each groomsman ___ __ ___ _____ _____ ______ ___ __ _____ ___ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ ____ ____ _________ was on the dance _____ ______ ___ __ _____ ___ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ ____ ____ _________ ___ __ ___ _____ floor having fun __ _____ ___ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ ____ ____ _________ ___ __ ___ _____ _____ ______ ___ it seems she _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ ____ ____ _________ ___ __ ___ _____ _____ ______ ___ __ _____ ___ asked one of  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ ____ ____ _________ ___ __ ___ _____ _____ ______ ___ __ _____ ___ _____ ___ __  the little flower girls __ ______","_____ ______ ___ ____ _________ ____ ____ _________ ___ __ ___ _____ _____ ______ ___ __ _____ ___ _____ ___ __  ___ ______ ______ _____ to dance.","Did Mary wash the dishes?","n"
"8b","mismatch","cc","_____ ______ ___ ____ _________ __ _____ ____ _________ ___ __ ___ _____ _____ ______ ___ ____ ___ _____ ___ __  ___ ______ ______ _____ __ ______","Laura helped out ____ _________ __ _____ ____ _________ ___ __ ___ _____ _____ ______ ___ ____ ___ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ with catering. __ _____ ____ _________ ___ __ ___ _____ _____ ______ ___ ____ ___ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ It seems ____ _________ ___ __ ___ _____ _____ ______ ___ ____ ___ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ __ _____ each groomsman ___ __ ___ _____ _____ ______ ___ ____ ___ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ __ _____ ____ _________ was on the dance _____ ______ ___ ____ ___ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ __ _____ ____ _________ ___ __ ___ _____ floor having fun ____ ___ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ __ _____ ____ _________ ___ __ ___ _____ _____ ______ ___ when she _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ __ _____ ____ _________ ___ __ ___ _____ _____ ______ ___ ____ ___ asked one of  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ __ _____ ____ _________ ___ __ ___ _____ _____ ______ ___ ____ ___ _____ ___ __  the little flower girls __ ______","_____ ______ ___ ____ _________ __ _____ ____ _________ ___ __ ___ _____ _____ ______ ___ ____ ___ _____ ___ __  ___ ______ ______ _____ to dance.","Did Mary wash the dishes?","y"
"8c","match","nocc","_____ ______ ___ ____ _________ ____ ____ _________ ___ __ ___ _____ _____ ______ ___ __ _____ __ _____ ___ __  ___ ______ ______ _____ __ ______","Laura helped out ____ _________ ____ ____ _________ ___ __ ___ _____ _____ ______ ___ __ _____ __ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ with catering. ____ ____ _________ ___ __ ___ _____ _____ ______ ___ __ _____ __ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ When ____ _________ ___ __ ___ _____ _____ ______ ___ __ _____ __ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ ____ each groomsman ___ __ ___ _____ _____ ______ ___ __ _____ __ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ ____ ____ _________ was on the dance _____ ______ ___ __ _____ __ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ ____ ____ _________ ___ __ ___ _____ floor having fun __ _____ __ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ ____ ____ _________ ___ __ ___ _____ _____ ______ ___ it seems he _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ ____ ____ _________ ___ __ ___ _____ _____ ______ ___ __ _____ __ asked one of  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ ____ ____ _________ ___ __ ___ _____ _____ ______ ___ __ _____ __ _____ ___ __  the little flower girls __ ______","_____ ______ ___ ____ _________ ____ ____ _________ ___ __ ___ _____ _____ ______ ___ __ _____ __ _____ ___ __  ___ ______ ______ _____ to dance.","Did Mary wash the dishes?","n"
"8d","match","cc","_____ ______ ___ ____ _________ __ _____ ____ _________ ___ __ ___ _____ _____ ______ ___ ____ __ _____ ___ __  ___ ______ ______ _____ __ ______","Laura helped out ____ _________ __ _____ ____ _________ ___ __ ___ _____ _____ ______ ___ ____ __ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ with catering. __ _____ ____ _________ ___ __ ___ _____ _____ ______ ___ ____ __ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ It seems ____ _________ ___ __ ___ _____ _____ ______ ___ ____ __ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ __ _____ each groomsman ___ __ ___ _____ _____ ______ ___ ____ __ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ __ _____ ____ _________ was on the dance _____ ______ ___ ____ __ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ __ _____ ____ _________ ___ __ ___ _____ floor having fun ____ __ _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ __ _____ ____ _________ ___ __ ___ _____ _____ ______ ___ when he _____ ___ __  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ __ _____ ____ _________ ___ __ ___ _____ _____ ______ ___ ____ __ asked one of  ___ ______ ______ _____ __ ______","_____ ______ ___ ____ _________ __ _____ ____ _________ ___ __ ___ _____ _____ ______ ___ ____ __ _____ ___ __  the little flower girls __ ______","_____ ______ ___ ____ _________ __ _____ ____ _________ ___ __ ___ _____ _____ ______ ___ ____ __ _____ ___ __  ___ ______ ______ _____ to dance.","Did Mary wash the dishes?","y"
"9a","mismatch","nocc","_ _____ __ ___ _____ __ __________ ____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ __ _____ __ _______ ____ ___ ____ _____ ______ __ _________","I spoke to Mr. Green __ __________ ____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ __ _____ __ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ at lunchtime. ____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ __ _____ __ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ When ____ _______ ___ __ ____ __________ _____ ___ ___ ____ __ _____ __ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ ____ each actress ___ __ ____ __________ _____ ___ ___ ____ __ _____ __ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ ____ ____ _______ was at home practicing _____ ___ ___ ____ __ _____ __ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ ____ ____ _______ ___ __ ____ __________ lines for the play __ _____ __ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ ____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ it seems he _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ ____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ __ _____ __ learned that the ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ ____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ __ _____ __ _______ ____ ___ play would appear __ _________","_ _____ __ ___ _____ __ __________ ____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ __ _____ __ _______ ____ ___ ____ _____ ______ on Broadway.","Did Mary wash the dishes?","y"
"9b","mismatch","cc","_ _____ __ ___ _____ __ __________ __ _____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ ____ __ _______ ____ ___ ____ _____ ______ __ _________","I spoke to Mr. Green __ __________ __ _____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ ____ __ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ at lunchtime. __ _____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ ____ __ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ It seems ____ _______ ___ __ ____ __________ _____ ___ ___ ____ ____ __ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ __ _____ each actress ___ __ ____ __________ _____ ___ ___ ____ ____ __ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ __ _____ ____ _______ was at home practicing _____ ___ ___ ____ ____ __ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ __ _____ ____ _______ ___ __ ____ __________ lines for the play ____ __ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ __ _____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ when he _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ __ _____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ ____ __ learned that the ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ __ _____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ ____ __ _______ ____ ___ play would appear __ _________","_ _____ __ ___ _____ __ __________ __ _____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ ____ __ _______ ____ ___ ____ _____ ______ on Broadway.","Did Mary wash the dishes?","n"
"9c","match","nocc","_ _____ __ ___ _____ __ __________ ____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ __ _____ ___ _______ ____ ___ ____ _____ ______ __ _________","I spoke to Mr. Green __ __________ ____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ __ _____ ___ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ at lunchtime. ____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ __ _____ ___ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ When ____ _______ ___ __ ____ __________ _____ ___ ___ ____ __ _____ ___ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ ____ each actress ___ __ ____ __________ _____ ___ ___ ____ __ _____ ___ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ ____ ____ _______ was at home practicing _____ ___ ___ ____ __ _____ ___ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ ____ ____ _______ ___ __ ____ __________ lines for the play __ _____ ___ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ ____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ it seems she _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ ____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ __ _____ ___ learned that the ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ ____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ __ _____ ___ _______ ____ ___ play would appear __ _________","_ _____ __ ___ _____ __ __________ ____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ __ _____ ___ _______ ____ ___ ____ _____ ______ on Broadway.","Did Mary wash the dishes?","y"
"9d","match","cc","_ _____ __ ___ _____ __ __________ __ _____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ ____ ___ _______ ____ ___ ____ _____ ______ __ _________","I spoke to Mr. Green __ __________ __ _____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ ____ ___ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ at lunchtime. __ _____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ ____ ___ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ It seems ____ _______ ___ __ ____ __________ _____ ___ ___ ____ ____ ___ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ __ _____ each actress ___ __ ____ __________ _____ ___ ___ ____ ____ ___ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ __ _____ ____ _______ was at home practicing _____ ___ ___ ____ ____ ___ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ __ _____ ____ _______ ___ __ ____ __________ lines for the play ____ ___ _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ __ _____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ when she _______ ____ ___ ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ __ _____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ ____ ___ learned that the ____ _____ ______ __ _________","_ _____ __ ___ _____ __ __________ __ _____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ ____ ___ _______ ____ ___ play would appear __ _________","_ _____ __ ___ _____ __ __________ __ _____ ____ _______ ___ __ ____ __________ _____ ___ ___ ____ ____ ___ _______ ____ ___ ____ _____ ______ on Broadway.","Did Mary wash the dishes?","n"
"10a","mismatch","nocc","_ ___ _______ __ ____ _____ ___ ___ ___________ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ __ _____ ___ ___ _ ___ _____ ____ ____ ____ ___ _____","I was talking to Mary _____ ___ ___ ___________ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ __ _____ ___ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ about the car dealership. _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ __ _____ ___ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ After ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ __ _____ ___ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ _____ each salesman ____ _ _____ ___ ________ ___ _ ___ ______ __ _____ ___ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ _____ ____ ________ sold a brand new Mercedes ___ _ ___ ______ __ _____ ___ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ _____ ____ ________ ____ _ _____ ___ ________ for a big profit __ _____ ___ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ it seems she ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ __ _____ ___ got a big bonus ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ __ _____ ___ ___ _ ___ _____ this year ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ __ _____ ___ ___ _ ___ _____ ____ ____ from the boss.","Did Mary wash the dishes?","n"
